datetime,Year,Decimal_Day,Hour,Bartels_Rotation_Number,IMF_SC_ID,SW_Plasma_SC_ID,IMF_Avg_Points,Plasma_Avg_Points,B_Field_Magnitude_Avg_nT,B_Magnitude_of_Avg_Field_Vector_nT,B_Lat_Angle_Avg_Field_Vector_deg,B_Long_Angle_Avg_Field_Vector_deg,Bx_GSE_GSM_nT,By_GSE_nT,Bz_GSE_nT,By_GSM_nT,Bz_GSM_nT,Sigma_B_Magnitude_nT,Sigma_B_Vector_nT,Sigma_Bx_nT,Sigma_By_nT,Sigma_Bz_nT,Proton_Temperature_K,Proton_Density_n_cm3,Plasma_Flow_Speed_km_s,Plasma_Flow_Long_Angle_deg,Plasma_Flow_Lat_Angle_deg,Na_Np_Ratio,Flow_Pressure_nPa,Sigma_Temperature_K,Sigma_Density_n_cm3,Sigma_Flow_Speed_km_s,Sigma_Phi_V_deg,Sigma_Theta_V_deg,Sigma_Na_Np,Electric_Field_mV_m,Plasma_Beta,Alfven_Mach_Number,Kp_Index,Sunspot_Number_R,DST_Index_nT,AE_Index_nT,Proton_Flux_gt1MeV,Proton_Flux_gt2MeV,Proton_Flux_gt4MeV,Proton_Flux_gt10MeV,Proton_Flux_gt30MeV,Proton_Flux_gt60MeV,Flag,ap_Index_nT,f10_7_Index_sfu,PC_N_Index,AL_Index_nT,AU_Index_nT,Magnetosonic_Mach_Number,Solar_Lyman_Alpha_Irradiance_W_m2,Proton_QI
2019-12-31 14:00:00,2019,365,14,2542.0,51.0,52.0,58.0,34.0,5.1,4.9,-16.6,129.2,-3.0,3.7,-1.4,3.7,-1.5,0.3,1.2,0.6,0.6,0.8,19695.0,9.2,303.0,-1.0,-2.1,0.006,1.44,3238.0,2.0,3.0,0.4,0.5,0.001,0.45,2.18,9.0,7.0,0.0,-6.0,90.0,,,,0.29,0.19,0.14,-1.0,3.0,68.2,0.5,-49.0,41.0,5.3,0.006089,0.0147
2019-12-31 15:00:00,2019,365,15,2542.0,51.0,52.0,59.0,36.0,5.6,5.6,-27.8,145.1,-4.0,2.8,-2.6,2.8,-2.6,0.3,1.0,0.4,0.5,0.7,17426.0,8.3,299.0,-0.5,-2.0,0.006,1.27,2187.0,0.9,2.0,0.5,0.5,0.001,0.78,1.61,7.7,7.0,0.0,-5.0,53.0,,,,0.29,0.19,0.14,-1.0,3.0,68.2,0.4,-24.0,29.0,5.0,0.006089,0.0201
2019-12-31 16:00:00,2019,365,16,2542.0,51.0,52.0,59.0,34.0,5.7,5.6,-28.5,147.5,-4.2,2.7,-2.7,2.8,-2.5,0.5,1.1,0.4,0.5,0.9,18219.0,8.1,297.0,-0.5,-1.3,0.005,1.22,2885.0,1.2,2.0,0.4,0.5,0.002,0.74,1.52,7.4,7.0,0.0,-7.0,32.0,,,,0.28,0.18,0.14,-1.0,3.0,68.2,0.3,-14.0,18.0,4.9,0.006089,0.0216
2019-12-31 17:00:00,2019,365,17,2542.0,51.0,52.0,63.0,38.0,6.2,6.1,-36.8,159.5,-4.5,1.7,-3.6,2.1,-3.4,0.4,1.2,0.6,1.0,0.4,23198.0,10.7,299.0,0.0,0.6,0.004,1.62,1860.0,1.3,3.0,0.9,0.7,0.001,1.02,1.76,7.9,7.0,0.0,-9.0,37.0,,,,0.29,0.18,0.14,-1.0,3.0,68.2,0.4,-28.0,9.0,5.0,0.006089,0.0191
2019-12-31 18:00:00,2019,365,18,2542.0,51.0,52.0,61.0,36.0,3.8,3.4,-36.8,177.2,-2.7,0.1,-2.0,0.4,-2.0,0.9,2.0,0.9,1.3,1.2,37896.0,11.2,308.0,0.9,-1.1,0.008,1.83,9782.0,2.2,4.0,1.1,1.2,0.001,0.62,5.36,13.6,13.0,0.0,-9.0,200.0,,,,0.26,0.18,0.13,-1.0,5.0,68.2,0.9,-168.0,32.0,5.7,0.006089,0.0065
2019-12-31 19:00:00,2019,365,19,2542.0,51.0,52.0,60.0,36.0,4.0,3.1,-74.5,235.3,-0.5,-0.7,-3.0,-0.1,-3.1,0.4,2.5,1.9,1.5,0.7,36804.0,11.1,310.0,1.7,-0.3,0.01,1.85,5500.0,0.4,3.0,0.6,0.5,0.001,0.96,4.77,12.9,13.0,0.0,-7.0,72.0,,,,0.3,0.19,0.13,-1.0,5.0,68.2,0.4,-51.0,21.0,5.7,0.006089,0.0071
2019-12-31 20:00:00,2019,365,20,2542.0,51.0,52.0,58.0,33.0,4.2,4.1,-68.3,314.9,1.1,-1.1,-3.8,-0.3,-3.9,0.3,0.9,0.5,0.6,0.3,36339.0,10.3,308.0,2.2,0.4,0.011,1.7,2788.0,0.5,2.0,0.3,0.6,0.001,1.2,4.0,11.8,13.0,0.0,-4.0,38.0,,,,0.26,0.17,0.12,-1.0,5.0,68.2,0.5,-26.0,12.0,5.6,0.006089,0.0086
2019-12-31 21:00:00,2019,365,21,2542.0,51.0,52.0,59.0,36.0,3.2,2.5,-52.0,325.4,1.3,-0.9,-2.0,-0.4,-2.2,0.3,2.0,1.3,1.4,0.7,39525.0,9.9,308.0,2.3,-0.2,0.011,1.64,3702.0,0.5,4.0,0.4,0.4,0.001,0.68,6.75,15.1,7.0,0.0,-4.0,34.0,,,,0.29,0.19,0.14,-1.0,3.0,68.2,0.5,-21.0,13.0,5.8,0.006089,0.0052
2019-12-31 22:00:00,2019,365,22,2542.0,51.0,52.0,58.0,35.0,2.7,1.7,-53.7,310.2,0.7,-0.8,-1.4,-0.4,-1.6,0.6,2.1,1.5,1.5,0.4,33975.0,9.4,305.0,1.9,-0.4,0.009,1.51,3405.0,1.1,4.0,0.4,0.3,0.003,0.49,8.71,17.3,7.0,0.0,-4.0,25.0,,,,0.3,0.18,0.13,-1.0,3.0,68.2,0.4,-17.0,8.0,5.9,0.006089,0.004
2019-12-31 23:00:00,2019,365,23,2542.0,51.0,52.0,60.0,36.0,4.6,4.6,-16.8,138.2,-3.3,2.9,-1.3,3.1,-0.5,0.2,0.5,0.3,0.2,0.4,24923.0,5.5,296.0,0.3,0.0,0.01,0.84,3139.0,0.7,3.0,0.4,0.4,0.002,0.15,1.66,7.5,7.0,0.0,-7.0,22.0,,,,0.28,0.18,0.13,-1.0,3.0,68.2,0.2,-14.0,9.0,4.8,0.006089,0.0209
